string_field_0,string_field_3,string_field_6,string_field_30,string_field_31,string_field_32,string_field_33,string_field_34,string_field_35,string_field_36,string_field_37,string_field_38,string_field_39,string_field_40,string_field_41,string_field_42,string_field_45
United Kingdom,41310,IT Staff / System Administrator,,,,,,,,,,,,,,
Netherlands,11,Manager of Developers or Team Leader,,JavaScript,CSS,PHP,,,SQL,,,C,,,,
Other Europe,41435,Manager of Developers or Team Leader,Java,JavaScript,CSS,,,,SQL,C#,,,,,,
United States of America,11,Manager of Developers or Team Leader,,JavaScript,,,,,SQL,C#,,,,,,
Other Asia,41435,Manager of Developers or Team Leader,,JavaScript,CSS,,,,SQL,C#,,,,,,
India,41310,Manager of Developers or Team Leader,Java,JavaScript,CSS,,,,,C#,,,,,,
United States of America,41435,Manager of Developers or Team Leader,,,,,,,SQL,C#,,,,,,
India,41435,Manager of Developers or Team Leader,,,,,,,,,,,,,,
United States of America,11,Manager of Developers or Team Leader,,JavaScript,CSS,,,,SQL,C#,,,,,,
United Kingdom,11,Manager of Developers or Team Leader,,,,,,,SQL,C#,,,Perl,,,
United States of America,11,Manager of Developers or Team Leader,,,,,,,SQL,C#,C++,C,,,,
Other Asia,11,Manager of Developers or Team Leader,Java,,,,,,,C#,,C,,,COBOL,
Canada,41435,Manager of Developers or Team Leader,,JavaScript,CSS,,,,SQL,C#,,C,,,,
United States of America,41435,Manager of Developers or Team Leader,,,,,,,,,,,,,,
United States of America,11,Manager of Developers or Team Leader,,,,,,,,C#,,C,,,,
United States of America,11,Manager of Developers or Team Leader,,,,,Python,Ruby,SQL,,,,Perl,,,
Germany,11,Manager of Developers or Team Leader,,JavaScript,CSS,,,,SQL,C#,C++,,,,,
South America,11,"Executive (VP of Eng, CTO, CIO, etc.)",,,CSS,,,,SQL,C#,,,,,,
United Kingdom,11,"Executive (VP of Eng, CTO, CIO, etc.)",,JavaScript,CSS,,,,SQL,,,,,,classic asp (vbscript),
United Kingdom,11,"Executive (VP of Eng, CTO, CIO, etc.)",,JavaScript,CSS,,,,SQL,C#,,C,Perl,,,
India,41435,"Executive (VP of Eng, CTO, CIO, etc.)",,,,,,,,,,,,,Java,
United States of America,41310,"Executive (VP of Eng, CTO, CIO, etc.)",,,,,,,,,,,,,,
Other Europe,11,Other,,JavaScript,CSS,PHP,,,,,,,,,,"<$20,000"
United Kingdom,41435,Other,,JavaScript,CSS,PHP,Python,,SQL,,,,,,,"<$20,000"
Other Europe,41435,Other,Java,JavaScript,CSS,,,Ruby,,,,,,,,"<$20,000"
India,<2,Other,,,CSS,,,,,,,,,,,"<$20,000"
Other Europe,<2,Other,,JavaScript,CSS,PHP,,,,,,,,,,"<$20,000"
United States of America,<2,Other,,,,,,,,,C++,C,Perl,,,"<$20,000"
United Kingdom,41310,Other,,JavaScript,CSS,PHP,,Ruby,,,,,,,,"<$20,000"
Other Europe,41435,Other,,,,,,Ruby,,,,,,,,"<$20,000"
Russia,41310,Other,,,,,,Ruby,SQL,,C++,C,Perl,,"make, OCaml","<$20,000"
Germany,41310,Other,,,CSS,PHP,,,SQL,,,,,,,"<$20,000"
United States of America,<2,Other,,,,,,,,C#,,,,,,"<$20,000"
Australia,11,Other,Java,,,,Python,,SQL,C#,C++,C,,,"Assembly, VB","<$20,000"
Middle East,41435,Other,Java,,,,,Ruby,SQL,C#,C++,C,,,,"<$20,000"
South America,<2,Other,Java,,,,Python,,,,,,,,,"<$20,000"
South America,11,Other,,,CSS,PHP,Python,,,,,C,,,awk,"<$20,000"
Other Europe,41310,Other,,,,,,Ruby,,C#,,,,,,"<$20,000"
United States of America,41310,Other,,JavaScript,CSS,,,Ruby,SQL,,,,,,VB.Net,"<$20,000"
United States of America,<2,Other,,,,PHP,Python,,,,,C,,,,"<$20,000"
United States of America,41435,Student,,,,,,,,,C++,,,,Mathematica,"<$20,000"
United States of America,<2,Student,Java,,,,,,SQL,C#,,,,,,"<$20,000"
United States of America,41310,Student,Java,JavaScript,CSS,PHP,,,SQL,,,,,,,"<$20,000"
Germany,11,Student,,JavaScript,CSS,PHP,Python,Ruby,SQL,C#,C++,C,,,ActionScript,"<$20,000"
South America,41310,Student,Java,JavaScript,CSS,PHP,Python,,SQL,,C++,C,,,scheme,"<$20,000"
Other Europe,41310,Student,Java,,,,Python,,,,C++,C,,,,"<$20,000"
Netherlands,41310,Student,Java,JavaScript,CSS,PHP,,,SQL,C#,,,Perl,,,"<$20,000"
Other Europe,41310,Student,Java,,,PHP,,,SQL,,,,,,,"<$20,000"
Other Europe,41310,Student,,,,,,,,,,,,None,,"<$20,000"
South America,41435,Student,Java,JavaScript,,PHP,Python,,SQL,,,C,,,,"<$20,000"
Australia,41435,Student,Java,JavaScript,CSS,PHP,Python,,,C#,C++,C,,,ocaml,"<$20,000"
Other Europe,41310,Student,Java,,,,,,,C#,,C,,,,"<$20,000"
United States of America,41310,Student,Java,JavaScript,CSS,PHP,,,SQL,C#,C++,C,,,,"<$20,000"
United Kingdom,41435,Student,,,,,Python,Ruby,SQL,,,C,,,"IDL, MatLab, NumPy","<$20,000"
Canada,41310,Student,,,CSS,PHP,Python,,,,,C,,,,"<$20,000"
Other Europe,11,Student,,,,,,,,,,,,,Delphi,"<$20,000"
Middle East,<2,Student,,JavaScript,CSS,PHP,,,SQL,,,,,,Java,"<$20,000"
Germany,11,Student,,JavaScript,CSS,,Python,Ruby,,C#,,,,,,"<$20,000"
Other Europe,41310,IT Manager,,,,,Python,,,,,,,,,"<$20,000"
South America,41310,IT Manager,,,,,Python,,SQL,C#,,,,,AS3,"<$20,000"
Canada,41310,Systems Analyst,Java,,,,Python,,,,C++,C,,,,"<$20,000"
South America,<2,Systems Analyst,Java,,,,,,,,,C,,,,"<$20,000"
Other Europe,41435,Systems Analyst,,JavaScript,CSS,,,,SQL,C#,,,,,,"<$20,000"
India,41310,Systems Analyst,,,,,,,SQL,,,,,,Delphi,"<$20,000"
Other Asia,41435,Systems Analyst,,,,PHP,,,,,,,,,,"<$20,000"
Russia,11,Server Programmer,,,,,Python,,,,C++,C,Perl,,Maple bash,"<$20,000"
Other Europe,41435,Server Programmer,,,,,Python,,SQL,,,C,,,,"<$20,000"
Other Europe,<2,Server Programmer,Java,,,,Python,,,,,,,,AS3,"<$20,000"
Other Asia,41310,Server Programmer,Java,,,,,,,C#,,,,,,"<$20,000"
Other Europe,41435,Server Programmer,,JavaScript,,,,,SQL,C#,,,,,,"<$20,000"
Other Europe,11,Server Programmer,,JavaScript,CSS,,,,SQL,C#,,,,,,"<$20,000"
Other Asia,<2,Server Programmer,Java,,,,,,,C#,,,,,,"<$20,000"
India,41310,Database Administrator,,,,,,,SQL,C#,C++,C,,,,"<$20,000"
South America,41310,Database Administrator,,,,,Python,,SQL,C#,,,,,,"<$20,000"
South America,41310,Database Administrator,,,,,Python,,SQL,C#,,,,,,"<$20,000"
Other Asia,41310,Web Application Developer,Java,,,,,,SQL,C#,,,,,,"<$20,000"
Other Europe,41310,Web Application Developer,Java,JavaScript,CSS,PHP,,Ruby,SQL,,,,,,,"<$20,000"
United States of America,41435,Web Application Developer,,JavaScript,CSS,PHP,,,,,,,,,"If CSS is a language, surely so is HTML?","<$20,000"
South America,41310,Web Application Developer,Java,JavaScript,CSS,,Python,,SQL,,,C,,,Scala and so on,"<$20,000"
Netherlands,41435,Web Application Developer,,JavaScript,CSS,PHP,,Ruby,SQL,C#,,,,,,"<$20,000"
Other Europe,41435,Web Application Developer,,JavaScript,CSS,PHP,,,SQL,,C++,C,,,,"<$20,000"
Other Europe,41310,Web Application Developer,Java,JavaScript,CSS,PHP,,,SQL,,,,,,,"<$20,000"
Russia,41310,Web Application Developer,,,,,,,,C#,,,,,,"<$20,000"
Other Europe,11,Web Application Developer,,JavaScript,CSS,PHP,Python,Ruby,SQL,,,,,,,"<$20,000"
United States of America,11,Web Application Developer,Java,JavaScript,CSS,,Python,,,,C++,C,,,,"<$20,000"
United States of America,41435,Web Application Developer,,JavaScript,CSS,PHP,,,,,,,,,Lua,"<$20,000"
Other Asia,41435,Web Application Developer,Java,,,,,,,,,,,,,"<$20,000"
North America (Other),41310,Web Application Developer,,,,,,,SQL,C#,,,,,,"<$20,000"
Other Europe,41310,Web Application Developer,,,,PHP,,,,,,,,,,"<$20,000"
Mexico,41310,Web Application Developer,Java,JavaScript,CSS,PHP,,,,,C++,C,,,,"<$20,000"
Other Europe,41310,Web Application Developer,Java,JavaScript,CSS,,,,,,,,,,,"<$20,000"
Middle East,<2,Web Application Developer,,JavaScript,CSS,,,Ruby,,,,C,,,,"<$20,000"
Other Europe,41310,Web Application Developer,Java,JavaScript,CSS,,,Ruby,SQL,,,,,,,"<$20,000"
Other Europe,41310,Web Application Developer,Java,JavaScript,CSS,,Python,Ruby,SQL,,,,,,Ruby,"<$20,000"
South America,41435,Web Application Developer,,JavaScript,CSS,PHP,Python,,,,,,,,,"<$20,000"
South America,41310,Web Application Developer,,JavaScript,CSS,PHP,,,SQL,,,,,,Symfony,"<$20,000"
Other Europe,41435,Web Application Developer,,JavaScript,CSS,,,,SQL,C#,,,,,,"<$20,000"
United Kingdom,41435,Web Application Developer,,,CSS,PHP,,,SQL,,,,,,,"<$20,000"
Other Europe,<2,Web Application Developer,,,,,,,,C#,,,,,,"<$20,000"
South America,41310,Web Application Developer,Java,JavaScript,,PHP,Python,,SQL,,,C,,,,"<$20,000"
South America,41310,Web Application Developer,,,,PHP,,,,,,,,,,"<$20,000"
United Kingdom,41435,Web Application Developer,Java,JavaScript,CSS,PHP,Python,Ruby,SQL,,,,,,Scala,"<$20,000"
Canada,41435,Web Application Developer,,,,,,,,,,,,,VB.NET,"<$20,000"
Russia,<2,Web Application Developer,Java,,,,Python,,SQL,,,,,,Haskell,"<$20,000"
India,41310,Web Application Developer,Java,JavaScript,CSS,,,,,,,,,,,"<$20,000"
Other Europe,41310,Web Application Developer,,,,,,,,C#,C++,,,,,"<$20,000"
Other Europe,41310,Web Application Developer,,JavaScript,,,,,SQL,C#,,,,,,"<$20,000"
Other Asia,41435,Web Application Developer,,JavaScript,CSS,PHP,,,SQL,,C++,,,,,"<$20,000"
Other Europe,<2,Web Application Developer,Java,,CSS,,,,,,,,,,"Clojure, ActionScript","<$20,000"
Other Asia,<2,Web Application Developer,,JavaScript,CSS,,,,SQL,C#,,,,,asp.net-mvc,"<$20,000"
Middle East,41435,Web Application Developer,Java,,,,,Ruby,SQL,,C++,C,,,,"<$20,000"
India,41435,Web Application Developer,,,,,,,,C#,,,,,,"<$20,000"
Other Europe,41310,Web Application Developer,Java,,CSS,PHP,,,SQL,,C++,,,,,"<$20,000"
Africa,41310,Web Application Developer,,JavaScript,CSS,PHP,,,,,C++,C,,,,"<$20,000"
Germany,11,Web Application Developer,Java,JavaScript,CSS,PHP,Python,Ruby,,,,,Perl,,,"<$20,000"
Germany,41310,Web Application Developer,,JavaScript,CSS,PHP,,Ruby,SQL,,C++,,Perl,,,"<$20,000"
Other Europe,11,Web Application Developer,Java,,CSS,,,,,C#,,,,,Objective C,"<$20,000"
India,41310,Web Application Developer,Java,,,,,,,,,,,,,"<$20,000"
Other Europe,41310,Web Application Developer,,,,,,,,C#,,,,,,"<$20,000"
India,<2,Web Application Developer,,JavaScript,,,,,,C#,,,,,ColdFusion,"<$20,000"
United States of America,41435,Web Application Developer,Java,JavaScript,CSS,PHP,,,SQL,C#,,,,,,"<$20,000"
United States of America,<2,Web Application Developer,,,,,,,,,,,,,ColdFusion,"<$20,000"
Other Europe,41310,Web Application Developer,Java,,,,,Ruby,SQL,,,,,,,"<$20,000"
Other Europe,41310,Web Application Developer,,,CSS,PHP,,,,,,,,,,"<$20,000"
Other Europe,41310,Web Application Developer,,,,PHP,,,SQL,,,,,,,"<$20,000"
Other Europe,41310,Web Application Developer,,JavaScript,CSS,PHP,,,,,,,,,,"<$20,000"
Netherlands,41310,Web Application Developer,,JavaScript,CSS,,,Ruby,SQL,,,,,,,"<$20,000"
India,41310,Web Application Developer,,JavaScript,CSS,,Python,,SQL,,,,,,,"<$20,000"
Other Europe,41310,Web Application Developer,,JavaScript,CSS,PHP,,,SQL,,,,,,,"<$20,000"
Other Europe,41310,Web Application Developer,,JavaScript,CSS,,,,SQL,C#,,,,,,"<$20,000"
Other Asia,41310,Web Application Developer,,JavaScript,CSS,PHP,Python,,SQL,,,,,,,"<$20,000"
India,41310,Web Application Developer,,JavaScript,CSS,,,,SQL,C#,,,,,VB.NET,"<$20,000"
Other Europe,41310,Web Application Developer,Java,JavaScript,CSS,PHP,,,SQL,C#,,,,,,"<$20,000"
Other Europe,41310,Web Application Developer,,JavaScript,,,,,,C#,,,,,,"<$20,000"
Other Europe,41435,Web Application Developer,,JavaScript,CSS,PHP,,,SQL,C#,,,,,,"<$20,000"
Middle East,41310,Web Application Developer,,JavaScript,CSS,PHP,,,SQL,,,,,,,"<$20,000"
Italy,41310,Web Application Developer,Java,JavaScript,CSS,PHP,Python,,SQL,,,C,,,,"<$20,000"
India,41310,Web Application Developer,,,,,,,,C#,,,,,VB.NET,"<$20,000"
Africa,41310,Web Application Developer,Java,JavaScript,,,,,SQL,C#,,,,,,"<$20,000"
India,41435,Web Application Developer,,,,,,,,C#,,,,,,"<$20,000"
Other Europe,41435,Web Application Developer,,JavaScript,CSS,,,,SQL,C#,,,,,,"<$20,000"
India,41435,Web Application Developer,,JavaScript,,,,,SQL,C#,,,,,,"<$20,000"
India,41310,Web Application Developer,Java,JavaScript,CSS,PHP,,,SQL,,,,,,,"<$20,000"
Australia,11,Web Application Developer,Java,JavaScript,CSS,PHP,,,SQL,,,,,,,"<$20,000"
India,<2,Web Application Developer,,,,,,,,,,,,,asp.net c#,"<$20,000"
Other Europe,41310,Web Application Developer,,,,,,,SQL,C#,,,,,,"<$20,000"
South America,41310,Web Application Developer,Java,,,,,,SQL,C#,,,,,,"<$20,000"
Other Europe,11,Web Application Developer,,JavaScript,CSS,,,,SQL,C#,,,,,,"<$20,000"
Other Europe,41310,Web Application Developer,,JavaScript,CSS,,,,SQL,C#,,,,,,"<$20,000"
United Kingdom,41435,Web Application Developer,,,CSS,PHP,,,SQL,,,,,,,"<$20,000"
Other Europe,<2,Web Application Developer,Java,JavaScript,CSS,PHP,Python,,SQL,C#,,,,,,"<$20,000"
United States of America,41310,Web Application Developer,Java,JavaScript,CSS,PHP,,,SQL,C#,,C,,,,"<$20,000"
South America,11,Web Application Developer,Java,,,,,,,C#,,,,,Visual Basic,"<$20,000"
Other Europe,41310,Web Application Developer,Java,JavaScript,CSS,PHP,,,SQL,,,,,,Delphi,"<$20,000"
India,41310,Web Application Developer,,JavaScript,,,,,,C#,,,,,,"<$20,000"
Middle East,41310,Web Application Developer,,,CSS,,,,,C#,,,,,,"<$20,000"
Other Europe,11,Web Application Developer,,JavaScript,CSS,PHP,,,SQL,C#,C++,C,Perl,,,"<$20,000"
Other Europe,41435,Web Application Developer,,JavaScript,CSS,PHP,Python,,,,,,,,,"<$20,000"
Middle East,41310,Web Application Developer,Java,JavaScript,CSS,,,,SQL,C#,,,,,,"<$20,000"
Other Europe,41310,Web Application Developer,Java,JavaScript,CSS,PHP,,,SQL,,,,,,,"<$20,000"
Other Europe,41435,Web Application Developer,,JavaScript,CSS,PHP,,,SQL,,,,,,,"<$20,000"
Other Europe,41310,Web Application Developer,Java,,,,,,SQL,,,,,,,"<$20,000"
Other Europe,41310,Web Application Developer,Java,JavaScript,CSS,,,,SQL,C#,,,,,,"<$20,000"
India,41310,Web Application Developer,,JavaScript,,,,,SQL,C#,,,,,,"<$20,000"
India,41310,Web Application Developer,Java,,,,,,SQL,,,,,,,"<$20,000"
Other Europe,41435,Web Application Developer,,JavaScript,CSS,PHP,,,SQL,C#,,,,,,"<$20,000"
United States of America,41310,Web Application Developer,Java,,CSS,PHP,,,,,,,,,,"<$20,000"
United States of America,<2,Web Application Developer,,JavaScript,CSS,,,,SQL,C#,,,,,,"<$20,000"
United States of America,11,Web Application Developer,Java,JavaScript,CSS,PHP,,Ruby,SQL,C#,C++,C,,,,"<$20,000"
Central America,41310,Web Application Developer,Java,JavaScript,CSS,,,,SQL,C#,,,,,,"<$20,000"
Other Europe,41310,Web Application Developer,Java,JavaScript,CSS,PHP,,Ruby,,,,,,,,"<$20,000"
Australia,41435,Web Application Developer,,JavaScript,,PHP,,Ruby,,,,,,,,"<$20,000"
Other Europe,41435,Web Application Developer,,JavaScript,CSS,PHP,,Ruby,SQL,,,,,,,"<$20,000"
Other Europe,41310,Web Application Developer,,JavaScript,,,,,SQL,C#,,,,,,"<$20,000"
South America,41310,Web Application Developer,Java,JavaScript,,PHP,Python,,SQL,C#,C++,C,,,,"<$20,000"
Other Europe,41435,Web Application Developer,,JavaScript,,,,,,C#,,,,,,"<$20,000"
Other Europe,11,Web Application Developer,,JavaScript,CSS,PHP,,,SQL,,,,,,,"<$20,000"
Russia,11,Web Application Developer,,JavaScript,CSS,,,Ruby,,,,,,,Objective-C,"<$20,000"
South America,41310,Web Application Developer,,JavaScript,CSS,,Python,,,,,,,,,"<$20,000"
South America,41435,Web Application Developer,,JavaScript,CSS,PHP,Python,,SQL,,,,,,,"<$20,000"
Germany,41310,Web Application Developer,,JavaScript,CSS,PHP,,,SQL,,,,,,,"<$20,000"
Other Europe,41435,Web Application Developer,Java,JavaScript,CSS,PHP,Python,,SQL,,,C,Perl,,Haskell,"<$20,000"
United Kingdom,<2,Web Application Developer,,JavaScript,CSS,PHP,Python,,SQL,,,,,,Classic ASP,"<$20,000"
Other Europe,11,Web Application Developer,Java,JavaScript,CSS,,Python,,,,C++,C,,,,"<$20,000"
United States of America,11,Web Application Developer,,JavaScript,CSS,,,,,,,,,,,"<$20,000"
Canada,41310,Web Application Developer,,,,,Python,,,,,,,,,"<$20,000"
United Kingdom,41435,Web Application Developer,,JavaScript,CSS,PHP,,,,,,,,,,"<$20,000"
France,41435,Web Application Developer,,JavaScript,CSS,PHP,,,SQL,,,,,,,"<$20,000"
South America,41435,Web Application Developer,,JavaScript,CSS,,Python,,SQL,,,C,,,,"<$20,000"
Australia,41310,Web Application Developer,,JavaScript,CSS,PHP,,,SQL,,,,,,,"<$20,000"
Other Asia,41310,Web Application Developer,,JavaScript,CSS,PHP,,,SQL,,,,,,,"<$20,000"
India,<2,Web Application Developer,,JavaScript,,,,,,,,,,,,"<$20,000"
Other Europe,41310,Web Application Developer,,JavaScript,,,,,,,,C,,,,"<$20,000"
India,41310,Web Application Developer,,JavaScript,CSS,PHP,,,SQL,,,,,,,"<$20,000"
Other Europe,41435,Web Application Developer,,,CSS,PHP,,,SQL,,,C,Perl,,,"<$20,000"
Other Asia,41310,Web Application Developer,,JavaScript,CSS,,,,SQL,C#,C++,C,,,,"<$20,000"
Other Europe,41435,Web Application Developer,,JavaScript,CSS,,,,SQL,C#,,,,,,"<$20,000"
South America,41310,Web Application Developer,,,CSS,,,,SQL,C#,,,,,,"<$20,000"
South America,11,Web Application Developer,,JavaScript,CSS,PHP,,,SQL,C#,,,,,Java,"<$20,000"
India,41310,Web Application Developer,,JavaScript,CSS,,,,,C#,,,,,,"<$20,000"
Other Europe,41310,Web Application Developer,,JavaScript,,PHP,,,SQL,,,,,,,"<$20,000"
United States of America,41435,Web Application Developer,,JavaScript,CSS,PHP,,,SQL,C#,,,,,,"<$20,000"
Italy,41310,Web Application Developer,,JavaScript,CSS,PHP,,,SQL,,,,,,Java,"<$20,000"
Other Europe,41310,Web Application Developer,,,,,,,,,,,,,java,"<$20,000"
India,<2,Web Application Developer,,JavaScript,,,,,,,,,,,Java,"<$20,000"
Other Europe,41310,Web Application Developer,,,,,,,,C#,,,,,,"<$20,000"
United Kingdom,41310,Web Application Developer,,JavaScript,CSS,PHP,,,,,,,,,,"<$20,000"
India,<2,Web Application Developer,,JavaScript,CSS,PHP,,,SQL,,,,,,,"<$20,000"
Other Europe,41435,Web Application Developer,,JavaScript,CSS,PHP,,,SQL,C#,,,,,,"<$20,000"
South America,41310,Web Application Developer,,JavaScript,,,,,SQL,,C++,C,,,Java,"<$20,000"
Other Europe,11,Web Application Developer,,JavaScript,,,,,SQL,C#,,,,,,"<$20,000"
Other Europe,11,Web Application Developer,,JavaScript,CSS,,,,SQL,C#,C++,,,,,"<$20,000"
India,41310,Web Application Developer,,JavaScript,,,,,SQL,C#,,,,,,"<$20,000"
Other Asia,41310,Web Application Developer,,JavaScript,CSS,PHP,,,SQL,C#,,,,,,"<$20,000"
India,41310,Web Application Developer,,JavaScript,CSS,PHP,,,SQL,,,,,,,"<$20,000"
South America,41310,Web Application Developer,,JavaScript,,,,,SQL,C#,,,,,,"<$20,000"
Australia,41435,Web Application Developer,,JavaScript,CSS,PHP,Python,,SQL,C#,,C,,,,"<$20,000"
South America,41435,Web Application Developer,,JavaScript,CSS,PHP,Python,,SQL,,,,,,,"<$20,000"
Other Asia,41310,Web Application Developer,,JavaScript,CSS,PHP,,,SQL,C#,,,,,,"<$20,000"
Africa,41435,Desktop Application Developer,,,,,,,,C#,,,,,"VB.NET, VB6, VBA","<$20,000"
Other Europe,11,Desktop Application Developer,,,,,,,,,C++,,,,,"<$20,000"
India,41310,Desktop Application Developer,Java,,,,,,,C#,C++,C,,,,"<$20,000"
India,11,Desktop Application Developer,,,,,,,,C#,,,,,foxpro,"<$20,000"
South America,41435,Desktop Application Developer,,JavaScript,,PHP,,,SQL,C#,,,,,,"<$20,000"
United Kingdom,41435,Desktop Application Developer,Java,JavaScript,CSS,PHP,Python,Ruby,SQL,,,C,,,Objective-C,"<$20,000"
United States of America,41435,Desktop Application Developer,,JavaScript,CSS,,Python,Ruby,,,C++,C,,,Objective-C,"<$20,000"
Mexico,41435,Desktop Application Developer,,,,,,,,C#,,,,,,"<$20,000"
Other Europe,41435,Desktop Application Developer,Java,JavaScript,,PHP,,,SQL,,C++,C,,,,"<$20,000"
Other Asia,41435,Desktop Application Developer,Java,,,PHP,,,SQL,C#,,,,,,"<$20,000"
India,<2,Desktop Application Developer,,,,,,,,,,,,,objective -c,"<$20,000"
Canada,11,Desktop Application Developer,,,,,Python,,,,C++,,,,,"<$20,000"
Canada,41310,Desktop Application Developer,,,,,,,,,,,Perl,,,"<$20,000"
Other Asia,41435,Desktop Application Developer,Java,JavaScript,,PHP,,,,C#,C++,C,,,,"<$20,000"
United Kingdom,41435,Desktop Application Developer,Java,,,,,Ruby,,,,C,,,Objective C,"<$20,000"
South America,41310,Desktop Application Developer,,,CSS,PHP,,,SQL,C#,C++,C,,,Assembly,"<$20,000"
Germany,11,Desktop Application Developer,Java,JavaScript,CSS,PHP,,,SQL,C#,C++,C,,,,"<$20,000"
India,<2,Desktop Application Developer,Java,,,,,,,,,,,,,"<$20,000"
Other Europe,41435,Desktop Application Developer,,,,,,,SQL,C#,,,,,,"<$20,000"
United Kingdom,41310,Desktop Application Developer,,JavaScript,CSS,PHP,,,SQL,,,C,,,VB,"<$20,000"
India,41435,Desktop Application Developer,,,,,,,SQL,C#,,,,,,"<$20,000"
United States of America,41435,Desktop Application Developer,,,,,,,,,C++,C,,,Objective-C (how dare you leave that out)! :-P,"<$20,000"
Other Europe,41435,Desktop Application Developer,,,,,,,SQL,C#,,,,,"vb.net, Object Pascal","<$20,000"
India,41435,Desktop Application Developer,,,,,,,,C#,,C,,,,"<$20,000"
Netherlands,41435,Desktop Application Developer,,,CSS,,,,,C#,,,,,,"<$20,000"
Russia,41310,Desktop Application Developer,,,,,,,,C#,C++,,,,,"<$20,000"
Other Europe,<2,Desktop Application Developer,,,,,,,,,C++,,,,,"<$20,000"
Other Asia,41310,Desktop Application Developer,,JavaScript,CSS,,,,,C#,,,,,,"<$20,000"
Other Europe,41435,Desktop Application Developer,Java,,,,,,,C#,C++,,,,,"<$20,000"
Other Europe,41310,Desktop Application Developer,Java,JavaScript,,PHP,Python,,,C#,C++,C,,,,"<$20,000"
Germany,41435,Desktop Application Developer,,,,,Python,,,C#,,,,,VB,"<$20,000"
South America,41435,Desktop Application Developer,Java,,,PHP,Python,,SQL,C#,C++,C,,,,"<$20,000"
Other Europe,41435,Desktop Application Developer,,,,,Python,Ruby,,,,C,,,Brainfuck,"<$20,000"
