string_field_0,string_field_5,string_field_6,string_field_7,string_field_42,string_field_43,string_field_44,string_field_45,string_field_46,string_field_47,string_field_48,string_field_49,string_field_50,string_field_51,string_field_52,string_field_53
United Kingdom,6/10/2014,Other,"$40,000 - $60,000",C,,C#,,,,,,,,,
United States,6/10/2014,Other,"$80,000 - $100,000",,,,,JavaScript,,,PHP,,,,
Sweden,6/10/2014,Other,Student / Unemployed,,,,,JavaScript,,,PHP,,,,
United States,11,Other,Rather not say,,,,,,,,,Python,,SQL,
United States,11,Other,Rather not say,,,,Java,JavaScript,,,,Python,,,blender python
India,11,Other,Rather not say,,,C#,Java,,,,,,,SQL,
Australia,6/10/2014,Other,Rather not say,,,,,JavaScript,,,,Python,Ruby,,"VHDL, Verilog, Makefiles"
Austria,11,Other,,,,,,,,,PHP,,,,
Netherlands,11,Other,"$60,000 - $80,000",,,,,JavaScript,Node.js,,PHP,,,SQL,
Egypt,2/5/2014,Other,"<$20,000",,,,Java,JavaScript,Node.js,,,Python,,,
United Kingdom,<2,Other,"$40,000 - $60,000",,,,,,,,,Python,,,
Egypt,2/5/2014,Other,Rather not say,,C++,C#,Java,,,,,,,,
United States,6/10/2014,Other,"$40,000 - $60,000",,C++,,,,,,,,,,matlab
United States,11,Other,"$120,000 - $140,000",,C++,C#,Java,JavaScript,,,,Python,,SQL,
Australia,11,Other,"$60,000 - $80,000",,C++,C#,,,,,,Python,,,
South Africa,11,Other,"$20,000 - $40,000",,,,,JavaScript,Node.js,,PHP,Python,,,
Slovenia,6/10/2014,Other,Rather not say,,C++,C#,,,,,,,,SQL,MATLAB
United States,2/5/2014,Other,Student / Unemployed,C,,,Java,JavaScript,Node.js,,,Python,Ruby,SQL,CoffeeScript
India,2/5/2014,Other,Rather not say,,,C#,,JavaScript,,,,,,SQL,"JQuery, HTML, XAML"
India,<2,Other,"<$20,000",,,C#,Java,,,,,,,,"Android, Flex, AS3, AIR"
France,11,Other,Rather not say,C,C++,,,,,,,,,,
Russia,2/5/2014,Other,"$20,000 - $40,000",,C++,C#,,,,,,,,,R
United States,11,Other,Rather not say,,C++,C#,,JavaScript,,,,Python,,SQL,
United States,6/10/2014,Other,"$60,000 - $80,000",,,C#,,JavaScript,,,,,,SQL,
United Kingdom,11,Other,,,,C#,,JavaScript,,,,,,SQL,
Germany,11,Other,,,,,,JavaScript,Node.js,,,,,,
Germany,6/10/2014,Other,"$60,000 - $80,000",,,,,,,,,Python,,,FORTRAN matlab sh
Canada,11,Other,"$20,000 - $40,000",,,,,JavaScript,,,PHP,,Ruby,SQL,
United States,2/5/2014,Other,"$40,000 - $60,000",,,,,,,,,Python,,,Applescript
United States,11,Other,,,,,,,,,,,,SQL,Perl
United States,<2,Other,Rather not say,,,,Java,JavaScript,,,,Python,,SQL,
United States,2/5/2014,Other,"$100,000 - $120,000",,,C#,,,,,,,,,
Germany,11,Other,"$40,000 - $60,000",C,,,,JavaScript,,,PHP,Python,,SQL,"mksh, make, Assembly"
United States,<2,Other,"$60,000 - $80,000",,,,,JavaScript,,,,,,SQL,
United States,11,Other,"$80,000 - $100,000",,,,,,,,,,,SQL,
United States,11,Other,"$100,000 - $120,000",C,C++,,,,,,,,,,PERL
Poland,<2,Other,"<$20,000",,C++,C#,Java,,,,,,,,
India,2/5/2014,Other,"<$20,000",C,,,,,,,,,,,
Canada,<2,Other,"$40,000 - $60,000",,,,,JavaScript,,,PHP,Python,,SQL,
United States,2/5/2014,Other,"$60,000 - $80,000",,,,,,,,,Python,Ruby,SQL,"TCL, Go"
United Kingdom,11,Other,"$60,000 - $80,000",,,C#,Java,,,,,,,SQL,Delphi
New Zealand,11,Other,">$140,000",,C++,C#,Java,JavaScript,,,,,,SQL,
United States,6/10/2014,Other,"$40,000 - $60,000",,,,Java,,,Objective-C,,,,,
United States,2/5/2014,Other,"$80,000 - $100,000",C,C++,,Java,JavaScript,Node.js,Objective-C,,,,,
United States,11,Other,"$80,000 - $100,000",,,C#,Java,JavaScript,,Objective-C,,,,SQL,
United Kingdom,11,Other,"$80,000 - $100,000",,,C#,Java,,,Objective-C,,Python,,,MongoDB
New Zealand,11,Other,"$80,000 - $100,000",,,C#,,,,,,,,SQL,Microsoft BizTalk
United States,2/5/2014,Other,"$100,000 - $120,000",,,,,JavaScript,Node.js,,PHP,,,,"MongoDB, AngularJS, Bash Shell"
United States,2/5/2014,Other,">$140,000",,,,,,,,,,,,kdb+
Argentina,11,Other,"$20,000 - $40,000",,,,Java,,,,,,,SQL,Groovy
United States,11,Other,"$100,000 - $120,000",,,,,,,,,Python,,,LabVIEW
United States,11,Other,"$120,000 - $140,000",,,,,JavaScript,,,PHP,,Ruby,SQL,
United States,11,Other,"$80,000 - $100,000",,,,,JavaScript,Node.js,,PHP,,,SQL,
Estonia,6/10/2014,Other,"<$20,000",,,C#,Java,,,,,Python,,SQL,
Australia,11,Other,Rather not say,C,,,,,,Objective-C,PHP,,Ruby,,
United States,11,Other,,,,,,JavaScript,,,PHP,,,SQL,
Italy,11,Other,Rather not say,,C++,,,,,,,Python,,,"MATLAB, Assembly"
United Kingdom,6/10/2014,Other,"<$20,000",,,,,JavaScript,,,PHP,,,SQL,
Finland,11,Other,,C,,,,,,,,,,,sh
United States,6/10/2014,Other,"$40,000 - $60,000",,,,,JavaScript,,,,Python,,SQL,
Canada,11,Other,"$100,000 - $120,000",,C++,,Java,JavaScript,,Objective-C,PHP,,,SQL,
Serbia,6/10/2014,Other,"<$20,000",,,C#,,,Node.js,,,,,SQL,
United Kingdom,11,Other,"$100,000 - $120,000",,C++,C#,,JavaScript,,,,,,SQL,
United States,6/10/2014,Other,"$40,000 - $60,000",,C++,,,JavaScript,,,PHP,Python,,,Stata
United Kingdom,6/10/2014,Other,"$60,000 - $80,000",,,,,JavaScript,,Objective-C,,,,,
United States,11,Other,"$40,000 - $60,000",,,,Java,JavaScript,,,PHP,Python,,SQL,
United Kingdom,11,Other,">$140,000",,,,,,,,,Python,,,
Poland,2/5/2014,Other,"$20,000 - $40,000",,,,Java,,,,,Python,,,
United States,6/10/2014,Other,"$80,000 - $100,000",,,,,JavaScript,,,PHP,,,SQL,Perl
United States,11,Other,"$80,000 - $100,000",,,,,,,,,,,SQL,
United States,<2,Other,"$40,000 - $60,000",,,,,,,,,,,,VBA
France,2/5/2014,Other,"$20,000 - $40,000",,,,,,,,PHP,Python,,,
United States,11,Other,"$20,000 - $40,000",,,,,JavaScript,,Objective-C,PHP,,,,
Canada,6/10/2014,Other,"$60,000 - $80,000",C,,C#,Java,JavaScript,,,PHP,,,SQL,Matlab
United States,11,Other,"$60,000 - $80,000",,,C#,,,,,,,,SQL,vb.net
United Kingdom,2/5/2014,Other,"$40,000 - $60,000",C,,,Java,JavaScript,,,,Python,,SQL,Go
Netherlands,2/5/2014,Other,"$80,000 - $100,000",,,,Java,,,,,,,SQL,
United Kingdom,11,Other,"$100,000 - $120,000",C,,,,,,,,,,,"Perl, TCL/expect"
Canada,11,Other,"$60,000 - $80,000",,,,,,,,,,,,COBOL
United States,2/5/2014,Other,"$60,000 - $80,000",,,,,,,,,,,SQL,sas
Finland,11,Other,"$80,000 - $100,000",C,C++,,Java,,,,,Python,,SQL,
Germany,11,Other,"<$20,000",,C++,,,,,,,Python,,,
Spain,11,Other,"$20,000 - $40,000",C,,,,,,,,,,,"Verilog, assembler"
United States,6/10/2014,Other,"$60,000 - $80,000",,,C#,,JavaScript,,,,,,SQL,
India,<2,Other,,,,,,JavaScript,Node.js,,,,,,
Lithuania,11,Other,"$20,000 - $40,000",,,,,,,,,,,,R
United States,11,Other,Rather not say,,,,Java,JavaScript,,,,Python,,SQL,
Italy,6/10/2014,Other,Rather not say,,,,Java,,,,PHP,,,SQL,
Japan,11,Other,Rather not say,,C++,,,JavaScript,,,,,Ruby,,
Italy,11,Other,Rather not say,,,,Java,,,,PHP,,,SQL,
Australia,<2,Other,"$20,000 - $40,000",,,C#,Java,,,,,,,,
United Kingdom,11,Other,">$140,000",C,,,Java,JavaScript,,,,Python,,SQL,
United States,11,Other,"$120,000 - $140,000",,C++,,Java,,,,,,,SQL,
United States,11,Other,"$60,000 - $80,000",,,C#,,JavaScript,,,PHP,,,SQL,
Kazakhstan,2/5/2014,Other,"<$20,000",C,,,Java,,,,,Python,,SQL,
United States,11,Other,">$140,000",,,,,JavaScript,,,,Python,,,
Netherlands,2/5/2014,Other,"$40,000 - $60,000",,,,,,,,,,,SQL,
Germany,6/10/2014,Other,"$60,000 - $80,000",C,C++,,,,,,,,,,CUDA
United States,6/10/2014,Other,"$80,000 - $100,000",,,C#,,,,,,,,SQL,
United States,11,Other,Rather not say,,,C#,,,,,,,,SQL,
Finland,11,Other,Rather not say,C,C++,C#,Java,JavaScript,,Objective-C,PHP,Python,,SQL,Object-Pascal
United Kingdom,11,Other,Rather not say,,,,,,,,,Python,,,OCaml
Germany,11,Other,">$140,000",,,,Java,JavaScript,,,,,,,VBScript(doh)
United Kingdom,11,Other,,C,,,,,,,,,,,"asm (arm, arm64)"
Portugal,11,Other,Student / Unemployed,,,C#,Java,,,,,,,,
United States,11,Other,">$140,000",,,C#,,JavaScript,,,,,,SQL,
Belgium,6/10/2014,Other,"$40,000 - $60,000",,,,Java,JavaScript,Node.js,,,Python,,,
United States,11,Other,"$60,000 - $80,000",C,,,,,,,,,,,
United States,11,Other,"$100,000 - $120,000",,,,,,,,,,,SQL,VB.net
Germany,6/10/2014,Other,"$40,000 - $60,000",,,,Java,,,Objective-C,,,,SQL,PL/SQL
United States,<2,Other,"$40,000 - $60,000",,,C#,,JavaScript,,,,,,SQL,
Canada,6/10/2014,Other,"$60,000 - $80,000",,,,,JavaScript,Node.js,,PHP,,,SQL,
United Kingdom,11,Other,"$60,000 - $80,000",,,,Java,JavaScript,,,,Python,Ruby,SQL,
Australia,6/10/2014,Other,"$80,000 - $100,000",C,C++,,,,,,,,,,
United States,11,Other,"$60,000 - $80,000",,,C#,,JavaScript,,,,,,SQL,
United Kingdom,6/10/2014,Other,"$60,000 - $80,000",,,,,,,,,,,SQL,
India,6/10/2014,Other,"$20,000 - $40,000",C,C++,C#,,JavaScript,,,PHP,Python,,SQL,Matlab
United States,11,Other,"$100,000 - $120,000",C,C++,,Java,JavaScript,Node.js,Objective-C,PHP,Python,Ruby,SQL,HTML/CSS
Denmark,11,Other,Rather not say,,,,,,,,,Python,,,VHDL
United Kingdom,11,Other,Rather not say,,,C#,,,,,,,,,
Germany,11,Other,"$20,000 - $40,000",C,,,,,,,PHP,,,SQL,
Philippines,<2,Other,"<$20,000",,,,,,,,,Python,,SQL,VBA
United States,11,Other,"$100,000 - $120,000",,,C#,Java,,,,PHP,,,SQL,
United Kingdom,6/10/2014,Other,,,,C#,,JavaScript,,,PHP,,,,
Norway,2/5/2014,Other,"$60,000 - $80,000",,,,,JavaScript,,,PHP,Python,,,
United States,2/5/2014,Other,"$80,000 - $100,000",,,,Java,,,,,Python,,SQL,
Iran,<2,Other,,,,,,,,,,,,,
United Kingdom,11,Other,"$100,000 - $120,000",,C++,C#,Java,,,,,,,,
Germany,11,Other,"$60,000 - $80,000",,C++,,,,,,,Python,,,
United States,2/5/2014,Other,"$40,000 - $60,000",,,C#,,,,,,,,SQL,"VBA, R"
United States,2/5/2014,Other,"$60,000 - $80,000",,C++,,,,,,,,,SQL,VBA
United States,11,Other,">$140,000",C,,,Java,JavaScript,Node.js,Objective-C,,Python,Ruby,SQL,"MongoDB, Rails, Chef, Bash, Redis, AWS"
United States,6/10/2014,Other,"$100,000 - $120,000",,,C#,Java,JavaScript,,,,,,SQL,
Austria,6/10/2014,Other,"$20,000 - $40,000",,,,,,,,,,,,"OCaml, Haskell, PolyML"
United States,11,Other,">$140,000",,,C#,,JavaScript,,,,,,SQL,
Sweden,<2,Other,Rather not say,,,,Java,JavaScript,,,,,,,
United Kingdom,6/10/2014,Other,"$40,000 - $60,000",,,,,,,,,Python,,,"VB6, VB.Net, VBA"
United States,11,Other,Rather not say,C,,,Java,JavaScript,Node.js,,,,,,"Bash, Awk"
Hong Kong,11,Other,Rather not say,,,C#,Java,JavaScript,,,PHP,,,,
France,11,Other,"$80,000 - $100,000",,,C#,,,,,,,,,
United States,11,Other,Rather not say,C,C++,,,,,Objective-C,,,,,
Netherlands,11,Other,"$60,000 - $80,000",C,C++,,Java,JavaScript,,,,Python,,SQL,
Netherlands,11,Other,"$20,000 - $40,000",C,,,,JavaScript,,,,,,,
United Kingdom,11,Other,Rather not say,,C++,,,,,,,Python,,,
Poland,2/5/2014,Other,"<$20,000",,C++,,,,,,,Python,,,
Argentina,6/10/2014,Other,"$120,000 - $140,000",,,C#,,,,,,,,,
United Kingdom,6/10/2014,Other,">$140,000",,C++,,,,,,,,,,
France,11,Other,"$20,000 - $40,000",C,,,,JavaScript,,Objective-C,,,,SQL,matlab
Israel,6/10/2014,Other,"$40,000 - $60,000",,,,,,,,,,,,"Tcl, Bash"
United Kingdom,11,Other,"$80,000 - $100,000",,C++,C#,Java,,,,,,,SQL,
Argentina,11,Other,"$20,000 - $40,000",,,,Java,,,,,,,SQL,
United States,11,Other,Rather not say,,,,,JavaScript,Node.js,,,Python,,SQL,
United States,2/5/2014,Other,"$40,000 - $60,000",,,,,,,,,Python,,,matlab
United States,6/10/2014,Other,"$20,000 - $40,000",,,,,,,,,Python,,SQL,
United States,11,Other,"$80,000 - $100,000",,,,,,,,,Python,,,
France,11,Other,"$60,000 - $80,000",,,,Java,JavaScript,,,,,,,
Germany,6/10/2014,Other,Rather not say,C,C++,,Java,,,,,,,,
United States,2/5/2014,Other,"$80,000 - $100,000",,,C#,,,,,,,,,VBA
Colombia,6/10/2014,Other,Rather not say,,,C#,Java,JavaScript,,,PHP,,,SQL,
United States,11,Other,Student / Unemployed,C,C++,,,,,,,Python,Ruby,SQL,"Prolog, Lua"
Germany,6/10/2014,Other,"$80,000 - $100,000",,C++,,,,,,,,,SQL,R
United Kingdom,<2,Other,Rather not say,,,,,,,,,,,,MATLAB
Italy,6/10/2014,Other,Rather not say,C,,,,,,,,,,SQL,
Germany,6/10/2014,Other,Student / Unemployed,,,,,,,,PHP,,,,
Italy,11,Other,"$40,000 - $60,000",C,C++,C#,Java,JavaScript,,,,,,,
Switzerland,2/5/2014,Other,"$60,000 - $80,000",,,,Java,,,,,,,,Scala
United States,11,Other,Rather not say,C,C++,,,,,,,,,,
India,2/5/2014,Other,Rather not say,,,C#,,JavaScript,,,,,,,
Germany,11,Other,Rather not say,C,C++,,,,,,,Python,,,
United States,11,Other,Rather not say,,,,,,,,,,,,F#
United Kingdom,6/10/2014,Other,"$80,000 - $100,000",,,,,,,,,,,,Verilog
United States,<2,Other,"<$20,000",C,C++,C#,Java,JavaScript,,,,,,SQL,
Hungary,2/5/2014,Other,"<$20,000",,C++,,Java,,,,,,,,
Australia,6/10/2014,Other,"$100,000 - $120,000",,C++,,,,,,,Python,,,"MongoDB, R"
United States,11,Other,"$80,000 - $100,000",C,,,Java,JavaScript,,Objective-C,,Python,,SQL,
United States,2/5/2014,Other,"$60,000 - $80,000",,,,,JavaScript,,,PHP,Python,,,
United Kingdom,11,Other,"$100,000 - $120,000",C,C++,,Java,,,Objective-C,,,,,
United States,11,Other,">$140,000",,,,,,,Objective-C,,,,,
Sweden,6/10/2014,Other,"$40,000 - $60,000",C,C++,C#,,,,,,,,SQL,
Italy,2/5/2014,Other,"<$20,000",C,C++,C#,,,,,,Python,,,
Germany,6/10/2014,Other,"$40,000 - $60,000",,,,,,,,,Python,,,
Belarus,2/5/2014,Other,"<$20,000",,,,,,,,,,Ruby,,
United States,11,Other,">$140,000",,C++,,Java,JavaScript,,,,,,,
United States,11,Other,"$120,000 - $140,000",C,C++,,,,,,,,,,MATLAB
United States,11,Other,Rather not say,,,C#,,,,,,,,,Powershell
Netherlands,11,Other,"$100,000 - $120,000",,,,,,,Objective-C,,,,,
Belarus,6/10/2014,Other,"$40,000 - $60,000",,,C#,,,,,,Python,,,
Germany,2/5/2014,Other,"$120,000 - $140,000",C,C++,C#,Java,JavaScript,,,,Python,,SQL,
Nepal,2/5/2014,Other,"<$20,000",,,C#,,JavaScript,,,,,,SQL,
Switzerland,11,Other,"$120,000 - $140,000",,C++,,Java,,,Objective-C,PHP,,,,
Italy,2/5/2014,Other,"<$20,000",,,,,,,,PHP,Python,,SQL,
Romania,2/5/2014,Other,Rather not say,,,,,JavaScript,Node.js,,,,,,
United States,11,Other,Rather not say,,,C#,,JavaScript,,,,,,SQL,
France,11,Other,Rather not say,,C++,,,,,,,Python,,,
Canada,6/10/2014,Other,"$60,000 - $80,000",,,C#,,,,,,,,,"VB.NET, Delphi, PLC"
United States,11,Other,"$120,000 - $140,000",C,,C#,,JavaScript,,,,,,SQL,
Canada,11,Other,Rather not say,,,,,,,,,,,SQL,VB.Net
Canada,11,Other,"$20,000 - $40,000",C,C++,,,,,,,Python,,,matlab
Iceland,11,Other,Rather not say,C,C++,,,,,,,Python,,SQL,Assembler (in disassembly)
United States,11,Other,"$100,000 - $120,000",,,,Java,JavaScript,,,,Python,,,
Denmark,2/5/2014,Other,"$60,000 - $80,000",,,,,,,,,,,,R
Israel,11,Other,"$120,000 - $140,000",,,C#,Java,JavaScript,,,,,Ruby,SQL,
United States,11,Other,Rather not say,C,,,Java,,,Objective-C,,,,,
United Kingdom,2/5/2014,Other,"$20,000 - $40,000",,C++,,Java,,,,,Python,,,
Germany,11,Other,"$20,000 - $40,000",,,C#,Java,,,,,,,SQL,SPARQL
United States,11,Other,"$100,000 - $120,000",,C++,,,,,,,Python,,,MATLAB
United States,11,Other,"$120,000 - $140,000",,,,Java,,,,,,,SQL,Groovy
Canada,11,Other,"$100,000 - $120,000",,,C#,,JavaScript,,,,,,SQL,
United States,11,Other,">$140,000",,C++,,,JavaScript,,Objective-C,,,,,
Netherlands,2/5/2014,Other,"$40,000 - $60,000",,,,,,,,,,,SQL,MATLAB
Netherlands,11,Other,"$60,000 - $80,000",C,C++,C#,,JavaScript,,,,,,SQL,
Hong Kong,2/5/2014,Other,"$60,000 - $80,000",,C++,,,,,,,,,,
Brazil,6/10/2014,Other,"$20,000 - $40,000",,,,Java,JavaScript,,,,Python,,,"Groovy, Scala"
Netherlands,6/10/2014,Other,Student / Unemployed,C,C++,C#,Java,,,,,,,,Assembly
United States,11,Other,Rather not say,,,,,,,,,,,,R
Russia,6/10/2014,Other,"$20,000 - $40,000",,,,,JavaScript,,,,Python,Ruby,,bash
Greece,6/10/2014,Other,"$20,000 - $40,000",,C++,C#,Java,JavaScript,Node.js,,PHP,,,SQL,
Australia,6/10/2014,Other,"$60,000 - $80,000",C,C++,,Java,JavaScript,,Objective-C,,Python,,SQL,
Brazil,11,Other,"<$20,000",C,,,Java,,,,,,,,
United States,11,Other,Rather not say,,,C#,,,,,,,,SQL,
United States,11,Other,"$100,000 - $120,000",,,C#,,,,,,,,SQL,
Spain,11,Other,"$100,000 - $120,000",,C++,,Java,JavaScript,,,,,,SQL,
United Kingdom,11,Other,">$140,000",,C++,C#,,,,,,,,,
France,11,Other,"$60,000 - $80,000",,C++,,,,,,,,,,"MELT, Ocaml"
United States,11,Other,Rather not say,,C++,,,JavaScript,Node.js,,,,,,asm.js
Chile,6/10/2014,Other,"$40,000 - $60,000",,,,,,,,,,,SQL,
United States,11,Other,">$140,000",,C++,,,,,,,Python,,SQL,
United States,11,Other,"$100,000 - $120,000",C,,,Java,,,,,,Ruby,,"Common Lisp, Prolog, Scheme"
United States,6/10/2014,Other,"$40,000 - $60,000",,,,,,,,,,,SQL,R
Ireland,11,Other,Rather not say,,,,Java,JavaScript,Node.js,,,,Ruby,,
Netherlands,11,Other,"$100,000 - $120,000",,,C#,,JavaScript,,,,,,SQL,
United States,11,Other,">$140,000",,,,Java,,,,,Python,,,"R, Lisp"
United Kingdom,11,Other,"$100,000 - $120,000",,,,Java,,,,,,,,
United States,11,Other,">$140,000",,,C#,,JavaScript,Node.js,,PHP,,,SQL,
Israel,2/5/2014,Other,"$40,000 - $60,000",C,C++,,,JavaScript,,,,Python,,,
United Kingdom,6/10/2014,Other,"$40,000 - $60,000",,,C#,,,,,,,,SQL,VBA
Brazil,11,Other,Rather not say,C,,,,,,,,,,,Lua
United Kingdom,11,Other,"$60,000 - $80,000",C,C++,,,JavaScript,,,PHP,Python,,SQL,
United Kingdom,11,Other,"$60,000 - $80,000",,,C#,,,,,PHP,,,SQL,vb.net
Sweden,11,Other,">$140,000",C,C++,C#,,JavaScript,Node.js,,PHP,,,SQL,
United States,11,Other,"$100,000 - $120,000",,,,,,,,,,,SQL,"VB6, VBA, OBEL, DataBasic"
Germany,11,Other,"$60,000 - $80,000",,,C#,,,,,PHP,,,SQL,VBA
United States,11,Other,Student / Unemployed,C,C++,,,JavaScript,,,,Python,,,
Sweden,11,Other,"$80,000 - $100,000",C,,,Java,,,,,,,SQL,
United States,11,Other,Student / Unemployed,,,,,JavaScript,,,,,Ruby,SQL,
France,6/10/2014,Other,"$40,000 - $60,000",,,,Java,,,,,,,SQL,
United Kingdom,11,Other,"$100,000 - $120,000",,C++,,,,,,,Python,,,
Israel,11,Other,Rather not say,C,C++,C#,Java,,,,,,,,
Russia,11,Other,Rather not say,,,,Java,,,,,,,,
Russia,6/10/2014,Other,Rather not say,,,C#,,JavaScript,,,,,,,"XML, XSL, VBScript"
Vietnam,2/5/2014,Other,Student / Unemployed,,,,,JavaScript,,,,Python,,,
Switzerland,11,Other,"$100,000 - $120,000",C,C++,,,,,,,Python,,,
Germany,11,Other,,,C++,C#,Java,,,,,,,,
United States,6/10/2014,Other,Student / Unemployed,,C++,,,,,,,,,,
United States,11,Other,"$60,000 - $80,000",,,,,JavaScript,,,,,,SQL,
United States,11,Other,"$100,000 - $120,000",C,C++,C#,,JavaScript,,,,Python,,SQL,
United States,11,Other,Rather not say,C,C++,C#,Java,JavaScript,,,PHP,Python,,SQL,
Sweden,11,Other,"$60,000 - $80,000",,,,Java,,,,,Python,,,
United States,<2,Other,Rather not say,,,,,JavaScript,,,,Python,Ruby,,
United States,11,Other,"$100,000 - $120,000",,,C#,Java,JavaScript,,Objective-C,,,,SQL,Delphi
Vietnam,11,Other,">$140,000",C,,,Java,,Node.js,Objective-C,PHP,,,SQL,
Argentina,11,Other,"$60,000 - $80,000",,,C#,,JavaScript,,,,,,SQL,NoSql
United Kingdom,11,Other,Student / Unemployed,,,,Java,JavaScript,,,,,,,
United States,6/10/2014,Other,"$60,000 - $80,000",,,C#,,,,,,,,,
Philippines,11,Other,"$80,000 - $100,000",C,,,,JavaScript,,,PHP,,,SQL,
Spain,<2,Other,Rather not say,,,,,,,,,,,,jQuery-Mobile
United States,6/10/2014,Other,"$60,000 - $80,000",C,C++,,Java,,,,,,,,Perl
Germany,2/5/2014,Other,"$60,000 - $80,000",,,,,,,,,,Ruby,,
United Kingdom,11,Other,Rather not say,,,,Java,JavaScript,,,,,,SQL,
United States,2/5/2014,Other,Student / Unemployed,,,,,,,Objective-C,,Python,Ruby,,
United States,6/10/2014,Other,"$60,000 - $80,000",,,,,,,,,Python,,,Matlab
United States,6/10/2014,Other,"$80,000 - $100,000",,,,Java,,,,,Python,,SQL,
United States,2/5/2014,Other,">$140,000",,,,,,,,,,,,Verilog
Japan,6/10/2014,Other,"$80,000 - $100,000",,,,,JavaScript,,,,Python,,SQL,bash
Romania,2/5/2014,Other,"$20,000 - $40,000",,C++,,,,,,,,,,
United Kingdom,2/5/2014,Other,">$140,000",,,,,,,,,Python,,,"Matlab, Haskell"
United States,11,Other,"$100,000 - $120,000",,,C#,,JavaScript,,,,,,,
Germany,11,Other,Rather not say,,C++,C#,,,,,,,,SQL,Delphi
United States,6/10/2014,Other,"$60,000 - $80,000",C,,C#,,,,,,Python,,,Assembly
Denmark,11,Other,"$120,000 - $140,000",,,,Java,,,,,,,,VBA
United Kingdom,11,Other,"$20,000 - $40,000",,,,,JavaScript,,,,,,,R
United Kingdom,2/5/2014,Other,"$40,000 - $60,000",C,C++,,Java,JavaScript,Node.js,Objective-C,,Python,,,
United States,<2,Other,"$20,000 - $40,000",,,,,,,,,,,SQL,
Denmark,<2,Other,Rather not say,,,,,,,,,Python,,,
United States,2/5/2014,Other,"$40,000 - $60,000",,,,,,,,,Python,,,R
United States,11,Other,"$40,000 - $60,000",,,,,JavaScript,,,,Python,,SQL,
Ukraine,6/10/2014,Other,"<$20,000",,,C#,,JavaScript,,,PHP,Python,,SQL,
Brazil,6/10/2014,Other,"$40,000 - $60,000",C,C++,,Java,JavaScript,,,,,,,matlab
Israel,11,Other,Rather not say,,,,,,,,,,,SQL,scala
United States,2/5/2014,Other,"$80,000 - $100,000",,,,,,,,,,,SQL,
Norway,6/10/2014,Other,"$60,000 - $80,000",,,,,,,,,Python,,SQL,SAS
Poland,2/5/2014,Other,Student / Unemployed,,C++,,Java,,,,PHP,,,,
United States,11,Other,">$140,000",,,,,,,,,,,,�������Brending
Ireland,11,Other,Rather not say,,,,,JavaScript,,,PHP,Python,,SQL,
United States,<2,Other,"$60,000 - $80,000",,,,,JavaScript,,,PHP,Python,,SQL,
Philippines,2/5/2014,Other,"<$20,000",C,C++,,,,,,,,,,SystemVerilog
India,<2,Other,Student / Unemployed,C,C++,C#,Java,JavaScript,,,,,,SQL,"j2ee, oracle"
United States,11,Other,"$80,000 - $100,000",C,C++,,,,,Objective-C,,,,,
United States,6/10/2014,Other,"$40,000 - $60,000",,,,Java,JavaScript,,,,Python,,SQL,bash
United Kingdom,11,Other,"$60,000 - $80,000",,,,,,,,,,Ruby,,
India,<2,Other,"<$20,000",,,,Java,,,,,Python,,SQL,
United Kingdom,<2,Other,"$60,000 - $80,000",,,,,,,,,,,SQL,
China,11,Other,"$60,000 - $80,000",,,C#,Java,JavaScript,,,,,,SQL,
United Kingdom,6/10/2014,Other,Rather not say,,,,,,,,,Python,,,
Italy,2/5/2014,Other,"$20,000 - $40,000",,,,,JavaScript,,,PHP,Python,,,
India,<2,Other,Rather not say,,,,Java,,,,,,,,
Moldova,2/5/2014,Other,"<$20,000",C,C++,,Java,,,,,Python,,,
United States,<2,Other,"<$20,000",,,,Java,,,,,,,,
United States,<2,Other,Student / Unemployed,,,,,,,,,,,,
United States,11,Other,">$140,000",C,,,,,,,,,,,"Perl, Python, TCL"
United States,11,Other,"$120,000 - $140,000",,,,Java,,,,,,,,
United States,2/5/2014,Other,"$20,000 - $40,000",,,C#,,JavaScript,,,PHP,Python,,,
Taiwan,2/5/2014,Other,Student / Unemployed,C,C++,C#,,,,,,,,,
Palestine,11,Other,Rather not say,,,,,,,,,,,SQL,
Denmark,11,Other,">$140,000",,,,,JavaScript,,,,,,SQL,
Netherlands,2/5/2014,DevOps,Rather not say,,,,,,,,,,,,
India,2/5/2014,DevOps,,,,,,,,,,,,,
Saudi Arabia,6/10/2014,DevOps,,,,,,,,,,,,,
United States,11,DevOps,"$80,000 - $100,000",,,,,,,,,,,,
India,2/5/2014,DevOps,Rather not say,,,,,,,,,,,,
United States,6/10/2014,DevOps,Student / Unemployed,,,,,,,,,,,,
United States,2/5/2014,DevOps,"$40,000 - $60,000",,,,,,,,,,,,
Czech Republic,6/10/2014,DevOps,,,,,,,,,,,,,
Russia,11,DevOps,"$20,000 - $40,000",,C++,C#,Java,,,,,Python,,,
Greece,6/10/2014,DevOps,Student / Unemployed,C,,,,JavaScript,,,PHP,Python,Ruby,SQL,
India,<2,DevOps,">$140,000",,,,Java,,,,,Python,,,
United States,2/5/2014,DevOps,Rather not say,,,,,,,,,,,,
Armenia,11,DevOps,,,,,Java,,,,,,,,
Germany,6/10/2014,DevOps,">$140,000",,,,,,,,,,,,
Austria,6/10/2014,DevOps,Rather not say,,,,,,,,,,,,
